Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4085457,RITLECITINIB,4,285.35,0,1.94,11; PF-06651600,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,IC50,'>',10000,nM,,,,UO_0000065,,,,,1,CHEMBL5141274,Inhibition of GST-tagged recombinant human JAK1 (866 to 1154 residues) expressed in baculovirus infection system by FRET assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5137068,1,Scientific Literature,J Med Chem,2022,None,,,,10000
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,CP-690550,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',1.3,nM,8.89,,,UO_0000065,,,,,1,CHEMBL4685311,Inhibition of recombinant human GST-tagged JAK1 cytoplasmic domain (866 to 1154 residues) expressed in baculovirus expression system using TK-substrate-biotin preincubated for 5 mins followed by substrate addition and measured after 30 mins by HTRF assay,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4680201,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.5833 hr,INHIBITOR,,1.3
CHEMBL1873475,IBRUTINIB,4,440.51,0,4.22,Ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4720227,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4715815,1,Scientific Literature,Eur J Med Chem,2018,None,,,,10000
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',1.3,nM,8.89,,,UO_0000065,28.45,0.53,7.35,9.99,0,CHEMBL3784138,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3779778,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,1.3
CHEMBL3622821,UPADACITINIB,4,380.37,0,2.91,Rinvoq,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,IC50,'=',43,nM,7.37,,,UO_0000065,19.37,0.37,4.46,9.41,1,CHEMBL5370745,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5370523,1,Scientific Literature,Eur J Med Chem,2023,None,,INHIBITOR,,43
CHEMBL4085457,RITLECITINIB,4,285.35,0,1.94,11,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4005718,Inhibition of recombinant human GST-tagged cytoplasmic JAK1 catalytic domain (866 to 1154 residues) expressed in baculovirus expression system using 5FAM-KKSRGDYMTMQID as substrate in presence of 1 mM ATP by microfluidic assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4004825,1,Scientific Literature,J Med Chem,2017,None,,,,10000
CHEMBL4435170,DEUCRAVACITINIB,4,425.47,0,1.73,EUB0001543a,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL5479497,Selectivity interaction (HTRF assay) EUB0001543a JAK1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,Protein family: Protein kinase,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5465560,65,EUbOPEN Chemogenomic Library Literature Data,,2024,None,Selectivity Remarks: In-vitro potency (using 1 mM ATP) | Source Knowledge: https://pubs.acs.org/doi/10.1021/acs.jmedchem.9b00444,,,10
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',3.1,nM,8.51,,,UO_0000065,27.24,0.51,6.97,9.57,1,CHEMBL4220906,Inhibition of recombinant GST-tagged human JAK1 (852 to 1142 residues) using IRS-1 as substrate in presence of 40 uM ATP by mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4219073,1,Scientific Literature,Bioorg Med Chem,2018,None,,,,3.1
CHEMBL2035187,PACRITINIB,4,472.59,0,4.47,21c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',15.1,nM,7.82,,,UO_0000065,25.04,0.46,6.28,8.8,1,CHEMBL5119405,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5113519,1,Scientific Literature,J Med Chem,2022,None,,INHIBITOR,,15.1
CHEMBL1834657,INFIGRATINIB PHOSPHATE,4,658.48,2,5.35,1h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3137308,PEFICITINIB,4,326.4,0,2.01,4,NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,IC50,'=',3.9,nM,8.41,,,UO_0000065,25.76,0.48,6.4,8.08,1,CHEMBL5346995,Inhibition of human JAK1 using Biotin-Lyn-Substrate-2 as substrate assessed as reduction in rate of substrate phosphorylation incubated for 1 hr in presence of ATP by ELISA method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5346859,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 1.0 hr,INHIBITOR,,3.9
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',2,nM,8.7,,,UO_0000065,27.85,0.52,7.16,9.78,1,CHEMBL4220820,Inhibition of recombinant human JAK1 (866-end residues) in presence of ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4219073,1,Scientific Literature,Bioorg Med Chem,2018,None,,,,2
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',17,nM,7.77,,,UO_0000065,24.87,0.46,6.23,8.74,0,CHEMBL5319083,Inhibition of JAK1 JH1 domain (unknown origin) using FITC-Ahx-KKSRGDYMTMQIG-NH2 peptide as substrate incubated for 60 mins in the presence of ATP by caliper microfluidic mobility shift technology,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5316322,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.0 hr,INHIBITOR,,17
CHEMBL2103743,TOFACITINIB CITRATE,4,504.5,0,1.54,EUB0000286bCit,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,'=',25000,nM,4.6,,,UO_0000065,14.73,0.27,3.06,5.18,0,CHEMBL5209677,Cellular target engagement assay with: JAK1kinase 1,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK-293T,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4632348,55,EUbOPEN Chemogenomic Library,,,CHEMBL3706569,NanoBRET Tracer: Tracer K10 | NanoBRET Tracer Concentration = -7.0 nM | NanoBRET Tracer kD = -7.04 nM,,,25000
CHEMBL1795071,RUXOLITINIB PHOSPHATE,4,404.37,0,3.47,GLPG0634,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1.O=P(O)(O)O,IC50,'=',10,nM,8,,,UO_0000065,26.11,0.48,4.53,9.62,0,CHEMBL2155758,Inhibition of JAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL2150873,1,Scientific Literature,J Med Chem,2012,None,,,,10
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,1,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',3.8,nM,8.42,,,UO_0000065,26.96,0.5,6.88,9.47,0,CHEMBL3118994,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3112442,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,3.8
CHEMBL3622821,UPADACITINIB,4,380.37,0,2.91,EUB0000644a,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,IC50,'=',2,nM,8.7,,,UO_0000065,,,,,0,CHEMBL5445928,Affinity Phenotypic Cellular interaction: (Cytokine potency assay (cytokine IL-4,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2103743,TOFACITINIB CITRATE,4,504.5,0,1.54,EUB0000286bCit,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,'=',44,nM,7.36,,,UO_0000065,,,,,0,CHEMBL5445808,Affinity Phenotypic Cellular interaction: (Whole blood STAT phosphorylation assay (cytokine IFN-a,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',1.4,nM,8.85,,,UO_0000065,28.34,0.53,7.31,9.96,1,CHEMBL5105971,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5104143,1,Scientific Literature,Bioorg Med Chem Lett,2022,None,,INHIBITOR,,1.4
CHEMBL2103743,TOFACITINIB CITRATE,4,504.5,0,1.54,EUB0000286bCit,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,'=',1377,nM,5.86,,,UO_0000065,,,,,0,CHEMBL5445815,Affinity Phenotypic Cellular interaction: (Whole blood STAT phosphorylation assay (cytokine GM-CSF,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2103743,TOFACITINIB CITRATE,4,504.5,0,1.54,EUB0000286bCit,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,'=',42,nM,7.38,,,UO_0000065,,,,,0,CHEMBL5445816,Affinity Phenotypic Cellular interaction: (Whole blood STAT phosphorylation assay (cytokine IL-15,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2103743,TOFACITINIB CITRATE,4,504.5,0,1.54,EUB0000286bCit,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,'=',930,nM,6.03,,,UO_0000065,,,,,0,CHEMBL5445823,Affinity Phenotypic Cellular interaction: (Colony forming cell assays (inhibition of human myeloid progenitor cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2103743,TOFACITINIB CITRATE,4,504.5,0,1.54,EUB0000286bCit,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,'=',1128,nM,5.95,,,UO_0000065,,,,,0,CHEMBL5445825,Affinity Phenotypic Cellular interaction: (Colony forming cell assays (inhibition of mouse myeloid progenitor cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',3.1,nM,8.51,,,UO_0000065,27.24,0.51,6.97,9.57,1,CHEMBL4612619,Inhibition of N-terminal GST-tagged human JAK1 catalytic domain (850 to 1154 residues) incubated for 40 mins in presence of TK substrate-biotin by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4610114,1,Scientific Literature,J Med Chem,2020,None,,,,0.0031
CHEMBL1789941,RUXOLITINIB,4,306.37,0,3.47,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,IC50,'=',3.3,nM,8.48,,,UO_0000065,27.68,0.5,5.01,10.2,1,CHEMBL5342277,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5338778,1,Scientific Literature,J Med Chem,2023,None,,INHIBITOR,,3.3
CHEMBL3643413,LENIOLISIB,4,450.47,0,2.88,EUB0000877a,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL5474431,Selectivity interaction (Kinase panel (33PanQinase(R) Activity Assay)) EUB0000877a JAK1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,Protein family: Protein kinase,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5465560,65,EUbOPEN Chemogenomic Library Literature Data,,2024,None,Selectivity Comments: Favorable pharmacokinetic profile in rodents and monkeys | Selectivity number of off-targets = 1.0 None | Selectivity number of targets = 46.0 None | Selectivity Remarks: In-vitro potency (using 1 uM ATP) | Source Knowledge: https://pubs.acs.org/doi/10.1021/acsmedchemlett.7b00293,,,10
CHEMBL1789941,RUXOLITINIB,4,306.37,0,3.47,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,IC50,'=',0.09,nM,10.05,,,UO_0000065,32.79,0.6,6.58,12.08,0,CHEMBL5385203,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5380863,1,Scientific Literature,J Med Chem,2023,None,,INHIBITOR,,0.09
CHEMBL2103743,TOFACITINIB CITRATE,4,504.5,0,1.54,EUB0000286bCit,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,'=',3.2,nM,8.49,,,UO_0000065,27.19,0.5,6.95,9.55,0,CHEMBL5446125,Affinity Biochemical interaction: (Peptide mobility shift assay (phosphorylation of JAKtide peptide substrate at Km(MgATP)) EUB0000286bCit JAK1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,Mode of action: Inhibitor | Protein family: Protein Kinase | Recommended concentration = 100.0 nM,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5446079,65,EUbOPEN Chemogenomic Library Literature Data,,2024,None,Affinity Biochemical Source Knowledge: https://pubmed.ncbi.nlm.nih.gov/20701804/,,,3.2
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,1,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',74,nM,7.13,,,UO_0000065,22.83,0.42,5.59,8.02,0,CHEMBL3382735,Inhibition of JAK1 in human whole blood assessed as inhibition of IL-6-induced pSTAT1,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL3638178,Blood,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3351789,1,Scientific Literature,J Med Chem,2014,None,,,,74
CHEMBL2105759,BARICITINIB,4,371.43,0,1.1,Baricitinib,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,IC50,'=',4,nM,8.4,,,UO_0000065,22.61,0.44,7.3,6.97,1,CHEMBL3803215,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3797141,1,Scientific Literature,Bioorg Med Chem,2016,None,,,,4
CHEMBL1789941,RUXOLITINIB,4,306.37,0,3.47,2,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,IC50,'=',1.2,nM,8.92,,,UO_0000065,29.12,0.53,5.45,10.72,0,CHEMBL3388143,Inhibition of human recombinant JAK1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3351789,1,Scientific Literature,J Med Chem,2014,None,,,,1.2
CHEMBL1789941,RUXOLITINIB,4,306.37,0,3.47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,CP690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1789941,RUXOLITINIB,4,306.37,0,3.47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,1,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',15,nM,7.82,,,UO_0000065,25.05,0.46,6.28,8.8,1,CHEMBL4022969,Inhibition of recombinant human JAK1 using 5'FAM-KKSRGDYMTMQID as substrate in presence of 1 mM ATP by mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4020822,1,Scientific Literature,J Med Chem,2018,None,,,,0.015
CHEMBL3301607,FILGOTINIB,4,425.51,0,1.98,6,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,IC50,'=',636,nM,6.2,,,UO_0000065,14.56,0.28,4.22,6.41,0,CHEMBL4714259,Inhibition of recombinant human JAK1 assessed as phosphorylation level in presence of 1 mM ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4706695,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,,INHIBITOR,,636
